date,sentiment,n_trades,total_volume,avg_leverage,win_rate,avg_pnl
2024-07-02,Neutral,18,18,3.4119444444444444,3.4119444444444444,3.4119444444444444
2024-07-03,Neutral,18,18,2039.0916666666667,2039.0916666666667,2039.0916666666667
2024-07-04,Fear,25,25,2795.886,2795.886,2795.886
2024-07-05,Fear,32,32,1837.889625,1837.889625,1837.889625
2024-07-06,Fear,24,24,1.10232597125,1.10232597125,1.10232597125
2024-07-07,Fear,10,10,3.9900000000000007,3.9900000000000007,3.9900000000000007
2024-07-08,Fear,1,1,3.19,3.19,3.19
2024-07-09,Fear,15,15,4.546446666666666,4.546446666666666,4.546446666666666
2024-07-10,Fear,56,56,2410.4582857142855,2410.4582857142855,2410.4582857142855
2024-07-11,Fear,19,19,3151.1421052631576,3151.1421052631576,3151.1421052631576
2024-07-12,Fear,19,19,1621.380905263158,1621.380905263158,1621.380905263158
2024-07-13,Fear,17,17,2416.179635294118,2416.179635294118,2416.179635294118
2024-07-14,Fear,7,7,3194.1857142857143,3194.1857142857143,3194.1857142857143
2024-07-15,Neutral,26,26,2752.5296153846157,2752.5296153846157,2752.5296153846157
2024-07-16,Greed,22,22,3446.881818181818,3446.881818181818,3446.881818181818
2024-07-17,Greed,351,351,92.99230740740741,92.99230740740741,92.99230740740741
2024-07-18,Greed,60,60,2995.8028266666665,2995.8028266666665,2995.8028266666665
2024-07-19,Greed,23,23,8050.626695652173,8050.626695652173,8050.626695652173
2024-07-20,Greed,266,266,124.94923650375941,124.94923650375941,124.94923650375941
2024-07-21,Greed,448,448,27.973419642857145,27.973419642857145,27.973419642857145
2024-07-22,Greed,154,154,481.8778051948052,481.8778051948052,481.8778051948052
2024-07-23,Greed,370,370,23.578924594594596,23.578924594594596,23.578924594594596
2024-07-24,Greed,90,90,115.88352861011111,115.88352861011111,115.88352861011111
2024-07-25,Greed,78,78,2688.136446210769,2688.136446210769,2688.136446210769
2024-07-26,Greed,152,152,826.2452972302632,826.2452972302632,826.2452972302632
2024-07-27,Greed,57,57,2922.802513681579,2922.802513681579,2922.802513681579
2024-07-28,Greed,16,16,607.7397125,607.7397125,607.7397125
2024-07-29,Greed,39,39,48349.08078974359,48349.08078974359,48349.08078974359
2024-07-30,Greed,6,6,3295.4833333333336,3295.4833333333336,3295.4833333333336
2024-07-31,Greed,43,43,256.78039232558143,256.78039232558143,256.78039232558143
2024-08-01,Neutral,57,57,18740.473002526316,18740.473002526316,18740.473002526316
2024-08-02,Greed,63,63,14406.321016984128,14406.321016984128,14406.321016984128
2024-08-03,Fear,37,37,2718.8256902127027,2718.8256902127027,2718.8256902127027
2024-08-04,Fear,127,127,11138.705859755904,11138.705859755904,11138.705859755904
2024-08-05,Fear,80,80,14847.670722625,14847.670722625,14847.670722625
2024-08-06,Extreme Fear,107,107,1056.048024274299,1056.048024274299,1056.048024274299
2024-08-07,Fear,33,33,1.594288883939394,1.594288883939394,1.594288883939394
2024-08-08,Extreme Fear,9,9,520.3884688888888,520.3884688888888,520.3884688888888
2024-08-09,Neutral,144,144,4675.996384345139,4675.996384345139,4675.996384345139
2024-08-10,Fear,88,88,1.8675185526136362,1.8675185526136362,1.8675185526136362
2024-08-11,Fear,24,24,892.9076233333334,892.9076233333334,892.9076233333334
2024-08-12,Fear,48,48,855.5521279583332,855.5521279583332,855.5521279583332
2024-08-13,Fear,23,23,458.5604338260869,458.5604338260869,458.5604338260869
2024-08-14,Fear,25,25,971.82196148,971.82196148,971.82196148
2024-08-15,Fear,12,12,0.032253416666666666,0.032253416666666666,0.032253416666666666
2024-08-16,Fear,35,35,13243.149667228572,13243.149667228572,13243.149667228572
2024-08-17,Fear,30,30,0.17191166666666666,0.17191166666666666,0.17191166666666666
2024-08-18,Fear,15,15,2467.2810786666664,2467.2810786666664,2467.2810786666664
2024-08-19,Fear,8,8,58542.625,58542.625,58542.625
2024-08-20,Fear,12,12,1739.2645333333332,1739.2645333333332,1739.2645333333332
2024-08-21,Fear,145,145,141.46601248275863,141.46601248275863,141.46601248275863
2024-08-23,Fear,10,10,2683.83,2683.83,2683.83
2024-08-24,Greed,7,7,46230.142857142855,46230.142857142855,46230.142857142855
2024-08-25,Neutral,17,17,19585.087261176468,19585.087261176468,19585.087261176468
2024-08-26,Greed,6,6,2263.875,2263.875,2263.875
2024-08-27,Neutral,50,50,372.7858502784,372.7858502784,372.7858502784
2024-08-28,Fear,9,9,15309.777777777777,15309.777777777777,15309.777777777777
2024-08-29,Fear,1,1,60802.0,60802.0,60802.0
2024-08-30,Fear,6,6,11097.769382833334,11097.769382833334,11097.769382833334
2024-08-31,Fear,34,34,11030.937086423235,11030.937086423235,11030.937086423235
2024-09-01,Fear,12,12,44.57331249999999,44.57331249999999,44.57331249999999
2024-09-02,Fear,2,2,2426.1,2426.1,2426.1
2024-09-04,Fear,34,34,5402.028013264706,5402.028013264706,5402.028013264706
2024-09-05,Fear,1,1,7.79e-05,7.79e-05,7.79e-05
2024-09-06,Extreme Fear,42,42,215.73034285714286,215.73034285714286,215.73034285714286
2024-09-08,Fear,1,1,0.11756,0.11756,0.11756
2024-09-09,Fear,2,2,0.0115,0.0115,0.0115
2024-09-10,Fear,3,3,1557.6705000000002,1557.6705000000002,1557.6705000000002
2024-09-11,Fear,1,1,1.5e-05,1.5e-05,1.5e-05
2024-09-14,Neutral,11,11,0.010652363636363637,0.010652363636363637,0.010652363636363637
2024-09-18,Neutral,145,145,3.120756620689655,3.120756620689655,3.120756620689655
2024-09-19,Neutral,19,19,0.9843423684210526,0.9843423684210526,0.9843423684210526
2024-09-20,Neutral,16,16,17153.90225,17153.90225,17153.90225
2024-09-21,Neutral,23,23,4.30038695652174,4.30038695652174,4.30038695652174
2024-09-22,Neutral,3,3,62701.0,62701.0,62701.0
2024-09-23,Neutral,2,2,63672.0,63672.0,63672.0
2024-09-24,Neutral,10,10,0.4286068,0.4286068,0.4286068
2024-09-25,Greed,9,9,42295.14844444444,42295.14844444444,42295.14844444444
2024-09-26,Neutral,8,8,24173.9921375,24173.9921375,24173.9921375
2024-09-27,Greed,56,56,11807.956114285715,11807.956114285715,11807.956114285715
2024-09-28,Greed,4,4,4.101,4.101,4.101
2024-09-30,Greed,106,106,6063.712550943396,6063.712550943396,6063.712550943396
2024-10-01,Neutral,4,4,62044.5,62044.5,62044.5
2024-10-02,Fear,4,4,60911.0,60911.0,60911.0
2024-10-03,Fear,9,9,26799.238066666665,26799.238066666665,26799.238066666665
2024-10-04,Fear,1,1,0.0011,0.0011,0.0011
2024-10-05,Neutral,37,37,60568.594601856756,60568.594601856756,60568.594601856756
2024-10-06,Neutral,22,22,62166.40909090909,62166.40909090909,62166.40909090909
2024-10-07,Neutral,21,21,63684.42857142857,63684.42857142857,63684.42857142857
2024-10-08,Neutral,36,36,58825.33341509444,58825.33341509444,58825.33341509444
2024-10-09,Neutral,14,14,61800.92857142857,61800.92857142857,61800.92857142857
2024-10-10,Fear,16,16,59323.25,59323.25,59323.25
2024-10-11,Fear,26,26,59195.38462157692,59195.38462157692,59195.38462157692
2024-10-12,Neutral,10,10,62726.0,62726.0,62726.0
2024-10-13,Neutral,10,10,62778.2,62778.2,62778.2
2024-10-14,Neutral,5,5,64693.8,64693.8,64693.8
2024-10-15,Greed,7,7,66652.28571428571,66652.28571428571,66652.28571428571
2024-10-16,Greed,11,11,67576.54545454546,67576.54545454546,67576.54545454546
2024-10-17,Greed,9,9,67400.11111111111,67400.11111111111,67400.11111111111
2024-10-18,Greed,6,6,67397.0,67397.0,67397.0
2024-10-19,Greed,4,4,68391.25,68391.25,68391.25
2024-10-20,Greed,96,96,4280.33074875,4280.33074875,4280.33074875
2024-10-21,Greed,173,173,4316.762150867052,4316.762150867052,4316.762150867052
2024-10-22,Greed,3,3,67047.0,67047.0,67047.0
2024-10-23,Greed,18,18,30954.322222222225,30954.322222222225,30954.322222222225
2024-10-25,Greed,30,30,56633.085333333336,56633.085333333336,56633.085333333336
2024-10-26,Unknown,6,6,2.6499333333333337,2.6499333333333337,2.6499333333333337
2024-10-27,Greed,4,4,67737.75,67737.75,67737.75
2024-10-28,Greed,13,13,52838.49888384615,52838.49888384615,52838.49888384615
2024-10-29,Greed,53,53,51081.13156396226,51081.13156396226,51081.13156396226
2024-10-30,Extreme Greed,25,25,646.6885008,646.6885008,646.6885008
2024-10-31,Extreme Greed,48,48,42753.894183125,42753.894183125,42753.894183125
2024-11-01,Extreme Greed,23,23,27379.532136956524,27379.532136956524,27379.532136956524
2024-11-02,Greed,2,2,68880.0,68880.0,68880.0
2024-11-03,Greed,6,6,45208.04899166667,45208.04899166667,45208.04899166667
2024-11-04,Greed,36,36,49681.014294444445,49681.014294444445,49681.014294444445
2024-11-05,Greed,10,10,67511.4,67511.4,67511.4
2024-11-06,Greed,15,15,58370.23423933333,58370.23423933333,58370.23423933333
2024-11-07,Extreme Greed,113,113,1338.6989985840708,1338.6989985840708,1338.6989985840708
2024-11-08,Extreme Greed,39,39,46749.91446666667,46749.91446666667,46749.91446666667
2024-11-09,Extreme Greed,86,86,8015.27303244186,8015.27303244186,8015.27303244186
2024-11-10,Extreme Greed,173,173,22619.335545589594,22619.335545589594,22619.335545589594
2024-11-11,Extreme Greed,373,373,6882.198738908847,6882.198738908847,6882.198738908847
2024-11-12,Extreme Greed,171,171,33638.82797450292,33638.82797450292,33638.82797450292
2024-11-13,Extreme Greed,48,48,46411.560992520834,46411.560992520834,46411.560992520834
2024-11-14,Extreme Greed,110,110,33402.97117528182,33402.97117528182,33402.97117528182
2024-11-15,Extreme Greed,149,149,47181.7405247651,47181.7405247651,47181.7405247651
2024-11-16,Extreme Greed,157,157,8005.464557764331,8005.464557764331,8005.464557764331
2024-11-17,Extreme Greed,209,209,13599.930072669855,13599.930072669855,13599.930072669855
2024-11-18,Extreme Greed,346,346,13431.133118797688,13431.133118797688,13431.133118797688
2024-11-19,Extreme Greed,305,305,15993.576337872131,15993.576337872131,15993.576337872131
2024-11-20,Extreme Greed,550,550,9792.793397765454,9792.793397765454,9792.793397765454
2024-11-21,Extreme Greed,535,535,7300.062138975701,7300.062138975701,7300.062138975701
2024-11-22,Extreme Greed,679,679,9893.695111284242,9893.695111284242,9893.695111284242
2024-11-23,Extreme Greed,363,363,4723.455523900826,4723.455523900826,4723.455523900826
2024-11-24,Extreme Greed,172,172,19953.478843476743,19953.478843476743,19953.478843476743
2024-11-25,Extreme Greed,255,255,14680.957598172548,14680.957598172548,14680.957598172548
2024-11-26,Extreme Greed,302,302,10192.743361337749,10192.743361337749,10192.743361337749
2024-11-27,Extreme Greed,213,213,19940.432149488264,19940.432149488264,19940.432149488264
2024-11-28,Extreme Greed,332,332,4420.7387338072285,4420.7387338072285,4420.7387338072285
2024-11-29,Extreme Greed,393,393,1859.8201062210942,1859.8201062210942,1859.8201062210942
2024-11-30,Extreme Greed,373,373,3435.1424477873725,3435.1424477873725,3435.1424477873725
2024-12-01,Extreme Greed,416,416,6389.235122030456,6389.235122030456,6389.235122030456
2024-12-02,Extreme Greed,270,270,6137.360651434223,6137.360651434223,6137.360651434223
2024-12-03,Extreme Greed,374,374,2354.399729529412,2354.399729529412,2354.399729529412
2024-12-04,Extreme Greed,319,319,3922.991142316614,3922.991142316614,3922.991142316614
2024-12-05,Extreme Greed,456,456,4881.7428253070175,4881.7428253070175,4881.7428253070175
2024-12-06,Greed,403,403,15604.850347196028,15604.850347196028,15604.850347196028
2024-12-07,Extreme Greed,304,304,1359.7200135328949,1359.7200135328949,1359.7200135328949
2024-12-08,Extreme Greed,420,420,1787.932218347619,1787.932218347619,1787.932218347619
2024-12-09,Extreme Greed,539,539,3534.2818935269015,3534.2818935269015,3534.2818935269015
2024-12-10,Extreme Greed,1596,1596,2885.2128903966163,2885.2128903966163,2885.2128903966163
2024-12-11,Greed,1221,1221,4356.6742505249795,4356.6742505249795,4356.6742505249795
2024-12-12,Extreme Greed,1932,1932,2265.6843708274846,2265.6843708274846,2265.6843708274846
2024-12-13,Extreme Greed,1173,1173,4577.503724812446,4577.503724812446,4577.503724812446
2024-12-14,Extreme Greed,1235,1235,2159.9074581732793,2159.9074581732793,2159.9074581732793
2024-12-15,Extreme Greed,1697,1697,1595.8074837011786,1595.8074837011786,1595.8074837011786
2024-12-16,Extreme Greed,1055,1055,3014.2459456306633,3014.2459456306633,3014.2459456306633
2024-12-17,Extreme Greed,1941,1941,1052.0018582095724,1052.0018582095724,1052.0018582095724
2024-12-18,Extreme Greed,1429,1429,5035.001314213366,5035.001314213366,5035.001314213366
2024-12-19,Extreme Greed,3339,3339,2950.7475688442946,2950.7475688442946,2950.7475688442946
2024-12-20,Greed,2488,2488,1281.1534623320258,1281.1534623320258,1281.1534623320258
2024-12-21,Greed,1681,1681,3657.2952470862583,3657.2952470862583,3657.2952470862583
2024-12-22,Greed,774,774,1463.3598931589147,1463.3598931589147,1463.3598931589147
2024-12-23,Greed,2347,2347,1741.0217452281254,1741.0217452281254,1741.0217452281254
2024-12-24,Greed,338,338,11362.672453045592,11362.672453045592,11362.672453045592
